key,en,ko,jp,zh
0,None - 无,,,
1,Cheese - 奶酪,,,
2,Egg - 鸡蛋,,,
3,Droplet - 小水滴,,,
4,Feather - 羽毛,,,
5,Angry - 愤怒,,,
6,Die - 死亡,,,
7,Balloon - 气球,,,
8,Tapioca - 奶茶珍珠,,,
9,Magnet - 磁铁,,,
10,Clover - 三叶草,,,
11,Bloodclot - 血块,,,
12,Skull - 骷髅,,,
13,Clown - 小丑,,,
14,Coin - 硬币,,,
15,Ghost - 鬼魂,,,
16,Shield - 盾牌,,,
17,Sad - 悲伤,,,
18,Bandaid - 创可贴,,,
19,Happy - 开心,,,
20,Plate - 盘子,,,
21,Pencil - 铅笔,,,
22,Screw - 螺丝钉,,,
23,Shard - 碎片,,,
24,Halo - 光环,,,
25,Horn - 角,,,
26,Jester - 小丑帽,,,
27,Crosshair - 准心,,,
28,Lime - 青柠,,,
29,Orange - 橙子,,,
30,Sugar - 糖,,,
31,Solenoid - 线圈,,,
32,Pill - 药丸,,,
33,Tablet - 平板电脑,,,
34,Speaker - 扬声器,,,
35,Chili Pepper - 辣椒,,,
