key,en,ko,jp,zh
0,None,,,
1,Cheese,,,
2,Egg,,,
3,Droplet,,,
4,Wing,,,
5,Angry,,,
6,Target,,,
7,Bubble Gum,,,
8,Tapioca,,,
9,Magnet,,,
10,Clover,,,
11,Bloodclot,,,
12,Uranium,,,
13,Clown,,,
14,Coin,,,
15,Ghost,,,
16,Shield,,,
17,Sad,,,
18,Bandaid,,,
19,Happy,,,
20,Plate,,,
21,Pencil,,,
22,Stars,,,
23,Monocle,,,
24,Halo,,,
25,Horn,,,
26,Jester,,,
27,Crosshair,,,
28,Lime,,,
29,Orange,,,
30,Coffee Bean,,,
31,Solenoid,,,
32,Pill,,,
33,Tablet,,,
34,Speaker,,,
35,Chili Pepper,,,
36,Wind Orb,,,
37,Water Orb,,,
38,Nature Orb,,,
39,Rock Orb,,,
40,Dark Orb,,,
41,Electric Orb,,,
42,Sanguine Orb,,,
